50,Self-emp,Bachelors,Married,Exec-managerial,Husband,White,Male,0,0,13,United,<50K
19,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0,0,40,United,<
18,Private,11th,Never,Other-service,Own,White,Female,0,0,22,United,<50K
61,Self-emp,HS-grad,Married,Craft-repair,Husband,White,Male,0,0,40,United,<
33,Private,Bachelors,Never,Exec-managerial,Other-relative,Asian-Pacific,Female,0,0,40,Philippines,<
18,Private,HS-grad,Single,Sales,Own-child,White,Female,0,0,40,USA,<50K
42,Private,Bachelors,Married,Clerical,Wife,Black,Female,0,0,40,United,<
41,Self-emp,Some-college,Married,Farming-fishing,Husband,White,Male,0,0,54,United,>50K
42,Private,HS-grad,Married,Clerical,Wife,White,Female,0,0,35,United,<50K
52,Self-employed,HS-grad,Married,Managerial,Husband,White,Male,0,0,45,United,<=50K
18,Private,High,Never-married,Sales,Own-child,White,Male,0,0,35,United,<
42,Private,Doctorate,Married,Specialty,Husband,White,Male,0,0,45,USA,<
17,Self-emp,10th,Never-married,Exec-managerial,Own-child,White,Female,34095,0,32,United,<
42,Private,Bachelors,Married-civ-spouse,Software,Husband,White,Male,0,0,40,USA,<
25,Private,Some,Married,Exec-managerial,Wife,Other,Female,0,0,40,United,<
28,Private,Some,Divorced,Admin-clerical,Not-in-family,White,Female,0,0,40,United,<50K
24,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,40,United,<50K
19,Private,Some,Never,Other,Own,Black,Male,0,0,35,United,<
66,Local-gov,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United,<50K
24,Private,High,Married-civ-spouse,Machine-operator,Husband,White,Male,0,0,40,United,<50
35,Private,Some,Single,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United,<50K
59,Private,Some-college,Married,Sales,Husband,White,Male,4064,0,40,United,<
58,Self-employed,HS-grad,Married,Handlers-cleaners,Husband,White,Male,0,0,40,USA,<50K
26,Self-employed,9th,Married,Craft-repair,Husband,White,Male,0,0,40,Portugal,<50K
42,Local-gov,Some-college,Married,Adm-clerical,Wife,White,Female,0,0,40,United,<50K
37,Private,HS-grad,Married,Admin-clerical,Wife,White,Female,0,0,60,USA,<50K
62,Local-gov,HS-grad,Married,Transport-moving,Husband,White,Male,0,0,40,USA,<50K
36,Private,HS-grad,Married,Other-service,Husband,Black,Male,0,0,40,United,<
35,Private,HS-grad,Married,Machine-op-inspct,Wife,Black,Female,0,0,40,United,<
30,Private,HS-grad,Married,Transport-moving,Husband,Black,Male,0,0,45,USA,<
31,Local-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United,<50K
43,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,38,United,<
